shape,carat,color,clarity,cut,authentication,ship date,price,natural
Round,0.33,I,SI2,Excellent,GIA,43976,360,Natural
Round,0.3,K,VS1,Very Good,GIA,43976,360,Natural
Round,0.3,E,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,360,Natural
Round,0.4,J,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,K,VVS1,Excellent,GIA,43976,360,Natural
Round,0.3,K,VVS1,Excellent,GIA,43976,360,Natural
Round,0.3,L,VVS1,Excellent,GIA,43976,360,Natural
Round,0.3,L,VVS2,Excellent,GIA,43976,360,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,360,Natural
Round,0.31,I,VVS1,Very Good,GIA,43972,360,Natural
Round,0.3,K,VVS2,Excellent,GIA,43972,360,Natural
Round,0.3,K,VVS2,Very Good,GIA,43972,360,Natural
Round,0.41,J,SI2,Very Good,GIA,43972,360,Natural
Round,0.35,J,VS2,Very Good,GIA,43972,360,Natural
Round,0.23,H,VVS1,Excellent,GIA,43972,360,Natural
Round,0.25,G,VS1,Excellent,GIA,43972,360,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,E,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,E,SI2,Excellent,GIA,43976,360,Natural
Round,0.3,G,SI2,Excellent,GIA,43976,360,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,360,Natural
Round,0.4,K,I1,Very Good,GIA,43976,360,Natural
Round,0.3,I,VS2,Excellent,GIA,43976,360,Natural
Round,0.3,I,SI2,Excellent,GIA,43976,360,Natural
Round,0.32,J,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,I,SI2,Excellent,GIA,43976,360,Natural
Round,0.3,K,VS1,Excellent,GIA,43976,360,Natural
Round,0.41,L,SI2,Excellent,GIA,43976,360,Natural
Round,0.31,F,I1,Excellent,GIA,43976,360,Natural
Round,0.3,K,VS1,Excellent,GIA,43976,360,Natural
Round,0.3,K,VS1,Excellent,GIA,43976,360,Natural
Round,0.3,I,VS2,Very Good,GIA,43976,360,Natural
Round,0.3,G,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,F,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,J,SI1,Good,GIA,43976,360,Natural
Round,0.33,E,SI2,Very Good,GIA,43972,360,Natural
Round,0.34,E,SI2,Very Good,GIA,43972,360,Natural
Round,0.3,K,VVS2,Very Good,GIA,43972,360,Natural
Round,0.34,G,SI2,Very Good,GIA,43972,360,Natural
Round,0.23,H,VVS1,Excellent,GIA,43972,360,Natural
Round,0.37,L,VVS2,Excellent,GIA,43972,360,Natural
Round,0.3,M,VVS2,Excellent,GIA,43972,360,Natural
Round,0.3,L,VS1,Excellent,GIA,43972,360,Natural
Round,0.31,H,SI2,Excellent,GIA,43976,360,Natural
Round,0.3,E,SI2,Very Good,GIA,43976,360,Natural
Round,0.31,J,SI2,Excellent,GIA,43976,360,Natural
Round,0.3,G,SI2,Excellent,GIA,43976,360,Natural
Round,0.31,J,SI2,Excellent,GIA,43976,360,Natural
Round,0.3,K,VS1,Very Good,GIA,43976,360,Natural
Round,0.32,I,SI2,Excellent,GIA,43976,360,Natural
Round,0.31,J,SI2,Excellent,GIA,43976,360,Natural
Round,0.31,L,VS2,Excellent,GIA,43976,360,Natural
Round,0.33,K,VS1,Excellent,GIA,43976,360,Natural
Round,0.37,K,SI1,Excellent,GIA,43976,360,Natural
Round,0.3,L,VVS1,Excellent,GIA,43976,360,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,J,SI1,Very Good,GIA,43976,360,Natural
Round,0.38,F,I1,Very Good,GIA,43972,360,Natural
Round,0.3,J,VS2,Very Good,GIA,43972,360,Natural
Round,0.4,J,SI2,Very Good,GIA,43972,360,Natural
Round,0.34,F,SI2,Very Good,GIA,43972,360,Natural
Round,0.23,H,VVS2,Excellent,GIA,43972,360,Natural
Round,0.35,M,VS2,Excellent,GIA,43972,360,Natural
Round,0.32,L,VS2,Excellent,GIA,43976,360,Natural
Round,0.32,K,SI1,Excellent,GIA,43976,360,Natural
Round,0.3,K,VVS2,Excellent,GIA,43976,360,Natural
Round,0.3,J,VVS2,Excellent,GIA,43976,360,Natural
Round,0.3,I,VS2,Good,GIA,43976,360,Natural
Round,0.3,I,VS1,Good,GIA,43976,360,Natural
Round,0.31,I,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,360,Natural
